word,freq
,
food,858
,
christmas,776
,
place,481
,
service,416
,
time,392
,
restaurant,329
,
order,283
,
vegas+,279
,
dinner,269
,
menu,236
,
day,205
,
meal,197
,
night,193
,
chicken,191
,
table,188
,
experience,177
,
staff,177
,
sauce,166
,
party,163
,
server,158
,
everything,155
,
family,154
,
way,145
,
bar,144
,
salad,141
,
bit,133
,
waitress,119
,
eve,119
,
side,117
,
steak,107
,
lunch,106
,
price,105
,
&,103
,
cheese,101
,
rice,98
,
area,93
,
pizza,91
,
dessert,91
,
something,90
,
chocolate,90
,
flavor,89
,
meat,88
,
husband,88
,
soup,87
,
waiter,87
,
line,86
,
wait,86
,
manager,86
,
beef,86
,
room,85
,
reservation,83
,
everyone,83
,
dish,82
,
bread,81
,
group,81
,
pork,80
,
location,79
,
hour,79
,
thing,77
,
lot,77
,
vegas,76
,
buffet,75
,
kind,74
,
home,73
,
house,71
,
quality,69
,
sushi,67
,
wine,66
,
water,64
,
shrimp,63
,
year,63
,
part,62
,
taste,62
,
plate,61
,
nothing,59
,
chef,59
,
name,56
,
person,55
,
friend,55
,
work,54
,
course,54
,
couple,54
,
cake,51
,
beer,50
,
coffee,50
,
pasta,50
,
cream,50
,
selection,50
,
holiday,49
,
town,49
,
anything,48
,
business,48
,
customer,48
,
burger,48
,
bowl,48
,
sandwich,48
,
drink,47
,
spicy,47
,
portion,47
,
wife,46
,
end,45
,
one,45
,
music,45
,
evening,45
,
star,44
,
salmon,44
,
someone,44
,
shopping,44
,
tea,43
,
crab,43
,
owner,43
,
anyone,43
,
kitchen,42
,
hostess,41
,
breakfast,41
,
atmosphere,40
,
review,40
,
half,40
,
spot,40
,
appetizer,40
,
decor,40
,
phone,39
,
seafood,39
,
visit,39
,
list,39
,
bill,39
,
today,39
,
egg,38
,
size,37
,
front,37
,
glass,37
,
top,36
,
amount,36
,
door,36
,
bacon,36
,
week,35
,
style,35
,
lobster,35
,
rest,35
,
thank,35
,
point,35
,
rib,35
,
money,34
,
mom,34
,
butter,34
,
bite,34
,
job,34
,
fact,34
,
cheesecake,34
,
potato,34
,
share,34
,
thai,34
,
fish,34
,
%,33
,
roll,33
,
ice,33
,
fan,33
,
strip,33
,
ambiance,33
,
choice,32
,
lady,32
,
onion,31
,
grill,31
,
calamari,31
,
variety,31
,
bbq,31
,
store,31
,
yelp,31
,
dim,31
,
problem,31
,
guy,31
,
tonight,30
,
company,30
,
salsa,30
,
mac,30
,
market,30
,
sum,29
,
option,29
,
boyfriend,29
,
bottle,29
,
tender,29
,
duck,29
,
event,28
,
birthday,28
,
space,28
,
man,28
,
street,28
,
inside,28
,
gift,27
,
management,27
,
daughter,27
,
oil,27
,
brunch,26
,
dad,26
,
tip,26
,
mushroom,26
,
bartender,26
,
dining,26
,
italian,26
,
piece,25
,
lamb,25
,
plenty,25
,
fun,25
,
filet,25
,
hotel,25
,
surprise,25
,
mall,24
,
world,24
,
lettuce,23
,
parking,23
,
sausage,23
,
shop,23
,
counter,23
,
back,23
,
las,23
,
establishment,23
,
number,23
,
toast,23
,
value,22
,
show,22
,
card,22
,
stuff,22
,
trip,22
,
salty,22
,
reason,22
,
office,21
,
deal,21
,
cafe,21
,
medium,21
,
crispy,21
,
type,21
,
mind,20
,
ribs,20
,
sugar,20
,
life,20
,
cup,20
,
city,20
,
date,20
,
tacos,20
,
morning,20
,
middle,19
,
veggie,19
,
"buffet,las",19
,
ham,19
,
warm,19
,
bland,19
,
care,19
,
weekend,19
,
woman,19
,
girlfriend,19
,
mix,19
,
tofu,18
,
lol,18
,
seat,18
,
pm,18
,
attention,18
,
level,18
,
crust,18
,
season,18
,
girl,18
,
taco,18
,
disappointment,18
,
cut,18
,
hubby,18
,
pie,18
,
slice,18
,
station,17
,
box,17
,
pepper,17
,
check,17
,
http,17
,
presentation,17
,
caesar,17
,
waffle,17
,
basket,17
,
guess,17
,
right,17
,
view,17
,
min,17
,
bunch,17
,
mother,17
,
honey,17
,
case,17
,
tuna,17
,
steakhouse,16
,
wow,16
,
sort,16
,
gravy,16
,
sign,16
,
game,16
,
none,16
,
tomato,16
,
casino,16
,
feel,16
,
corn,16
,
tree,16
,
bun,16
,
cash,16
,
entree,16
,
try,16
,
chance,15
,
and,15
,
look,15
,
court,15
,
environment,15
,
tapas,15
,
platter,15
,
turkey,15
,
note,15
,
complaint,15
,
hand,15
,
milk,15
,
sweet,15
,
afternoon,15
,
perfection,15
,
orange,15
,
car,15
,
center,15
,
di,15
,
asian,15
,
item,15
,
spinach,15
,
minute,15
,
pot,14
,
bottom,14
,
chop,14
,
basil,14
,
booth,14
,
ate,14
,
baby,14
,
outside,14
,
bean,14
,
road,14
,
toronto,14
,
chain,14
,
sorry,14
,
saturday,14
,
floor,14
,
gem,14
,
mistake,14
,
the,14
,
issue,14
,
mexican,14
,
addition,14
,
roast,14
,
bone,14
,
desert,14
,
venue,14
,
son,14
,
chili,14
,
response,14
,
mine,14
,
love,13
,
pudding,13
,
hummus,13
,
rating,13
,
advance,13
,
mouth,13
,
ambience,13
,
china,13
,
online,13
,
pizzas,13
,
apple,13
,
lack,13
,
winter,13
,
while,13
,
la,13
,
smile,13
,
discount,13
,
marshmallow,13
,
martini,13
,
e,13
,
head,13
,
vanilla,13
,
building,13
,
salt,13
,
shot,13
,
filling,13
,
starter,13
,
sister,12
,
idea,12
,
rude,12
,
eye,12
,
rock,12
,
spice,12
,
risotto,12
,
coupon,12
,
touch,12
,
truffle,12
,
garlic,12
,
cocktail,12
,
moment,12
,
round,12
,
patio,12
,
juicy,12
,
texture,12
,
lounge,12
,
app,12
,
notch,12
,
pho,12
,
yesterday,12
,
seating,12
,
bathroom,12
,
merry,12
,
crunch,12
,
combination,12
,
mood,12
,
excuse,12
,
fruit,11
,
mignon,11
,
flavour,11
,
rate,11
,
corner,11
,
wood,11
,
system,11
,
menus,11
,
treat,11
,
beppo,11
,
tv,11
,
chile,11
,
opinion,11
,
burrito,11
,
attitude,11
,
fine,11
,
kid,11
,
heart,11
,
mediocre,11
,
vibe,11
,
ravioli,11
,
del,11
,
manner,10
,
favor,10
,
tasting,10
,
king,10
,
of,10
,
pad,10
,
yummy,10
,
avocado,10
,
need,10
,
tradition,10
,
dark,10
,
broth,10
,
thought,10
,
silverware,10
,
let,10
,
employee,10
,
word,10
,
cost,10
,
goodness,10
,
ale,10
,
knife,10
,
syrup,10
,
valet,10
,
soy,10
,
training,10
,
pittsburgh,10
,
gelato,10
,
movie,10
,
cold,10
,
crowd,10
,
creme,10
,
peanut,10
,
change,10
,
cause,10
,
moist,10
,
joint,10
,
wall,10
,
carrot,10
,
picture,10
,
phoenix,10
,
spring,10
,
set,10
,
call,10
,
tamale,10
,
beverage,10
,
matter,10
,
school,10
,
dressing,9
,
montreal,9
,
heat,9
,
conversation,9
,
"steakhouse,las",9
,
fork,9
,
concept,9
,
book,9
,
ok,9
,
team,9
,
friday,9
,
