word,freq
,
food,372
,
christmas,325
,
place,258
,
time,189
,
service,176
,
table,137
,
restaurant,128
,
menu,126
,
order,123
,
dinner,119
,
sauce,111
,
night,105
,
meal,104
,
day,103
,
bit,99
,
chicken,98
,
server,92
,
bar,89
,
experience,78
,
lunch,75
,
salad,75
,
way,72
,
party,72
,
cheese,69
,
side,62
,
staff,62
,
steak,61
,
everything,61
,
meat,61
,
thing,57
,
burger,57
,
beer,56
,
waitress,55
,
pizza,53
,
something,53
,
bread,52
,
shrimp,52
,
beef,51
,
hour,50
,
wait,49
,
nothing,49
,
lot,48
,
price,46
,
sushi,45
,
quality,45
,
selection,45
,
pork,45
,
waiter,43
,
dessert,42
,
line,42
,
buffet,42
,
area,41
,
husband,41
,
rice,40
,
soup,40
,
dish,39
,
home,39
,
room,38
,
crab,38
,
eve,38
,
flavor,37
,
sandwich,37
,
wife,36
,
year,35
,
wine,35
,
cream,34
,
location,34
,
group,33
,
reservation,33
,
i+,33
,
potato,32
,
drink,31
,
chocolate,31
,
decor,31
,
everyone,31
,
course,31
,
friend,30
,
atmosphere,30
,
house,30
,
end,29
,
water,29
,
plate,29
,
couple,29
,
taste,29
,
manager,29
,
lobster,28
,
family,28
,
review,28
,
point,28
,
spicy,28
,
tea,27
,
front,27
,
bacon,27
,
kind,27
,
evening,26
,
thai,26
,
spot,26
,
one,25
,
vegas,25
,
roll,25
,
holiday,25
,
fact,25
,
appetizer,24
,
egg,24
,
breakfast,24
,
music,24
,
onion,24
,
visit,24
,
half,24
,
ice,24
,
seafood,24
,
butter,24
,
anything,24
,
someone,23
,
rib,23
,
ribs,23
,
town,23
,
part,22
,
kitchen,22
,
style,22
,
shopping,22
,
star,22
,
bill,22
,
fish,22
,
portion,22
,
duck,22
,
bite,21
,
pub,21
,
chef,20
,
owner,20
,
street,20
,
size,20
,
medium,20
,
choice,20
,
work,20
,
coffee,20
,
guy,20
,
business,20
,
glass,19
,
yelp,19
,
person,19
,
hostess,19
,
dining,19
,
week,19
,
salmon,18
,
customer,18
,
fan,17
,
tender,17
,
variety,17
,
reason,16
,
pasta,16
,
burrito,16
,
cake,16
,
option,16
,
stuff,16
,
apple,16
,
type,16
,
oil,16
,
life,16
,
check,16
,
pad,16
,
list,16
,
item,16
,
service+,16
,
light,15
,
fun,15
,
rest,15
,
tomato,15
,
amount,15
,
tuna,15
,
sister,15
,
turkey,15
,
today,15
,
ambiance,15
,
look,14
,
mom,14
,
head,14
,
%,14
,
juicy,14
,
space,14
,
place+,14
,
pepper,14
,
feel,14
,
pudding,14
,
case,14
,
inside,14
,
company,14
,
right,14
,
mind,14
,
boyfriend,14
,
cut,14
,
girl,14
,
hand,14
,
management,14
,
top,14
,
corn,14
,
food+,14
,
guess,13
,
share,13
,
morning,13
,
curry,13
,
parking,13
,
mine,13
,
saturday,13
,
dog,13
,
man,13
,
filet,13
,
while,13
,
plenty,13
,
piece,13
,
deal,13
,
tip,13
,
patio,13
,
booth,13
,
ale,12
,
attention,12
,
hubby,12
,
chance,12
,
bland,12
,
game,12
,
seat,12
,
back,12
,
idea,12
,
door,12
,
bartender,12
,
season,12
,
roast,12
,
mother,12
,
level,12
,
gift,12
,
yum,12
,
view,12
,
mouth,12
,
bottle,12
,
crispy,12
,
word,11
,
bun,11
,
none,11
,
sweet,11
,
middle,11
,
tree,11
,
specialty,11
,
pie,11
,
pot,11
,
salt,11
,
cleveland,11
,
problem,11
,
date,11
,
bbq,11
,
issue,11
,
buffalo,10
,
desert,10
,
nobody,10
,
tacos,10
,
mistake,10
,
crowd,10
,
matter,10
,
store,10
,
lady,10
,
box,10
,
presentation,10
,
name,10
,
world,10
,
salty,10
,
cocktail,10
,
chili,10
,
bellagio,10
,
thought,10
,
moment,10
,
job,10
,
hotel,10
,
sort,10
,
eye,10
,
creme,10
,
tofu,10
,
touch,10
,
brunch,10
,
lamb,9
,
conversation,9
,
maine,9
,
crust,9
,
floor,9
,
brulee,9
,
brisket,9
,
cost,9
,
calamari,9
,
minute,9
,
smile,9
,
counter,9
,
mushroom,9
,
card,9
,
note,9
,
starter,9
,
sum,9
,
perfection,9
,
trip,9
,
bakery,9
,
salsa,9
,
feeling,9
,
market,9
,
wall,9
,
corner,9
,
grill,9
,
son,9
,
number,9
,
sub,9
,
breast,9
,
platter,9
,
pm,9
,
window,9
,
dad,8
,
time+,8
,
need,8
,
miso,8
,
gelato,8
,
worth,8
,
pepperoni,8
,
daughter,8
,
bourbon,8
,
entree,8
,
margarita,8
,
coconut,8
,
phone,8
,
afternoon,8
,
fare,8
,
homemade,8
,
lol,8
,
mix,8
,
disappointment,8
,
city,8
,
gravy,8
,
tap,8
,
station,8
,
batter,8
,
friday,8
,
addition,8
,
goodness,8
,
pastry,8
,
chain,8
,
dip,8
,
building,8
,
boy,8
,
money,8
,
recommendation,8
,
hash,8
,
opinion,8
,
la,8
,
spoon,8
,
mac,8
,
anyone,8
,
surprise,8
,
call,7
,
try,7
,
change,7
,
coupon,7
,
value,7
,
taco,7
,
min,7
,
texture,7
,
cheesecake,7
,
tray,7
,
outside,7
,
guac,7
,
tempura,7
,
experience+,7
,
event,7
,
cup,7
,
cider,7
,
flavour,7
,
lettuce,7
,
discount,7
,
show,7
,
book,7
,
attitude,7
,
alcohol,7
,
chop,7
,
awhile,7
,
winter,7
,
kick,7
,
slice,7
,
dim,7
,
weekend,7
,
guinness,7
,
ribeye,7
,
cajun,7
,
toast,7
,
bowl,7
,
average,7
,
vanilla,7
,
veal,7
,
slaw,7
,
combination,7
,
visit+,7
,
ton,7
,
warm,7
,
mignon,7
,
charge,7
,
seasoning,6
,
establishment,6
,
stomach,6
,
ambience,6
,
wood,6
,
cheddar,6
,
goat,6
,
setting,6
,
yummy,6
,
fire,6
,
future,6
,
park,6
,
bunch,6
,
carrot,6
,
plan,6
,
guacamole,6
,
chowder,6
,
bomb,6
,
cozy,6
,
ok,6
,
sorry,6
,
spring,6
,
round,6
,
burritos,6
,
heart,6
,
xmas,6
,
wow,6
,
edinburgh,6
,
combo,6
,
shot,6
,
car,6
,
face,6
,
teppan,6
,
d,6
,
sashimi,6
,
rock,6
,
walk,6
,
playing,6
,
shop,6
,
neighborhood,6
,
distillery,6
,
bone,6
,
calzone,6
,
turn,6
,
ground,6
,
information,6
,
brew,6
,
caesar,6
,
tradition,6
,
valley,6
,
office,6
,
section,6
,
venture,6
,
suggestion,6
,
kid,6
,
hint,6
,
spinach,6
,
keg,6
,
search,6
,
mayo,6
,
seating,6
,
marinara,6
,
king,5
,
kobe,5
,
basket,5
,
square,5
,
cauliflower,5
,
color,5
,
god,5
,
prosciutto,5
,
child,5
,
joint,5
,
heat,5
,
restaurant+,5
,
delivery,5
,
broccoli,5
,
center,5
,
cheeseburger,5
