word,freq
,
food,302
,
christmas,277
,
place,233
,
service,168
,
time,149
,
restaurant,145
,
menu,139
,
dinner,121
,
table,112
,
order,104
,
chicken,99
,
day,97
,
meal,90
,
sauce,86
,
night,86
,
bar,80
,
bit,79
,
salad,70
,
soup,69
,
dish,65
,
server,64
,
something,64
,
beer,64
,
experience,63
,
staff,62
,
way,57
,
room,57
,
family,56
,
party,55
,
side,55
,
price,53
,
steak,51
,
burger,51
,
everything,51
,
nothing,50
,
thing,49
,
cheese,48
,
lunch,47
,
rice,45
,
bread,45
,
eve,43
,
meat,43
,
husband,42
,
dessert,41
,
star,41
,
course,40
,
couple,39
,
beef,38
,
vegas,38
,
house,38
,
lot,38
,
wife,38
,
hour,37
,
area,36
,
holiday,36
,
pizza,36
,
taste,36
,
sushi,35
,
waiter,35
,
buffet,34
,
everyone,34
,
waitress,34
,
home,34
,
flavor,34
,
reservation,33
,
crab,33
,
water,33
,
pork,32
,
plate,32
,
line,31
,
coffee,31
,
review,30
,
sandwich,30
,
year,30
,
friend,29
,
part,29
,
tea,29
,
wine,28
,
choice,28
,
size,28
,
i+,27
,
ice,27
,
wait,27
,
lobster,26
,
quality,26
,
top,26
,
bill,26
,
spicy,26
,
location,26
,
group,26
,
list,25
,
glass,25
,
cream,25
,
one,24
,
chocolate,24
,
fact,24
,
kind,24
,
drink,23
,
town,23
,
brunch,23
,
shrimp,23
,
rib,23
,
hotel,23
,
fish,23
,
end,23
,
half,22
,
breakfast,22
,
butter,22
,
anything,22
,
front,22
,
atmosphere,21
,
mom,21
,
tender,21
,
week,21
,
money,21
,
potato,21
,
chef,21
,
turkey,21
,
pot,20
,
roll,20
,
decor,20
,
burrito,20
,
point,20
,
yelp,20
,
salmon,20
,
calamari,19
,
manager,19
,
amount,19
,
appetizer,18
,
someone,18
,
cake,18
,
piece,18
,
cocktail,18
,
kitchen,18
,
guy,18
,
person,18
,
selection,18
,
ale,18
,
pie,18
,
egg,18
,
fan,17
,
bacon,17
,
visit,17
,
shopping,17
,
medium,17
,
yum,17
,
work,17
,
ambiance,17
,
sum,16
,
stuff,16
,
name,16
,
problem,16
,
movie,16
,
grill,16
,
bowl,16
,
seafood,16
,
evening,16
,
mushroom,16
,
strip,16
,
guess,16
,
spot,16
,
date,15
,
dog,15
,
touch,15
,
roast,15
,
tomato,15
,
tip,15
,
today,15
,
anyone,15
,
onion,15
,
lady,15
,
street,15
,
salty,15
,
door,14
,
dim,14
,
mouth,14
,
mozzarella,14
,
thai,14
,
weekend,14
,
salsa,14
,
back,14
,
dining,14
,
while,14
,
tuna,14
,
lamb,14
,
pasta,14
,
customer,14
,
bite,14
,
mine,14
,
idea,13
,
toast,13
,
card,13
,
head,13
,
portion,13
,
fruit,13
,
mac,13
,
owner,13
,
bbq,13
,
patio,13
,
share,13
,
phone,13
,
reason,13
,
trip,13
,
eat,13
,
cup,13
,
city,13
,
try,13
,
dozen,13
,
tortilla,12
,
school,12
,
type,12
,
place+,12
,
hostess,12
,
pub,12
,
eye,12
,
saturday,12
,
duck,12
,
texture,12
,
gift,12
,
flavour,12
,
man,12
,
deal,12
,
bland,12
,
corn,12
,
morning,12
,
show,12
,
music,12
,
tacos,12
,
vanilla,11
,
chili,11
,
service+,11
,
look,11
,
spinach,11
,
number,11
,
style,11
,
oil,11
,
combination,11
,
salt,11
,
curry,11
,
girlfriend,11
,
option,11
,
surprise,11
,
case,11
,
slice,11
,
counter,11
,
taco,11
,
pm,11
,
birthday,11
,
right,11
,
miso,11
,
company,11
,
moment,10
,
quesadilla,10
,
window,10
,
dressing,10
,
check,10
,
bun,10
,
cod,10
,
rest,10
,
job,10
,
girl,10
,
delivery,10
,
office,10
,
business,10
,
%,10
,
chance,10
,
pepper,10
,
view,10
,
honey,10
,
game,10
,
heat,10
,
spoon,10
,
sashimi,10
,
value,10
,
tofu,10
,
car,10
,
spring,10
,
ambience,10
,
del,10
,
feel,9
,
platter,9
,
hint,9
,
variety,9
,
box,9
,
thought,9
,
pudding,9
,
season,9
,
middle,9
,
event,9
,
hubby,9
,
partner,9
,
attack,9
,
crispy,9
,
station,9
,
cuisine,9
,
tap,9
,
cut,9
,
food+,9
,
fare,9
,
note,9
,
cafe,9
,
dad,9
,
asparagus,9
,
bone,9
,
chain,8
,
afternoon,8
,
soda,8
,
vibe,8
,
sort,8
,
life,8
,
addition,8
,
mon,8
,
store,8
,
stomach,8
,
edamame,8
,
veggie,8
,
sausage,8
,
market,8
,
situation,8
,
mall,8
,
tasting,8
,
fun,8
,
establishment,8
,
wall,8
,
sign,8
,
center,8
,
ami,8
,
version,8
,
smoke,8
,
ayce,8
,
cranberry,8
,
hand,8
,
ham,8
,
goodness,8
,
seating,8
,
basket,8
,
ravioli,8
,
st,8
,
presentation,8
,
apple,8
,
heart,8
,
complaint,8
,
minute,8
,
sugar,8
,
doubt,7
,
ribeye,7
,
charge,7
,
need,7
,
yellowtail,7
,
temperature,7
,
light,7
,
level,7
,
member,7
,
combo,7
,
paper,7
,
=,7
,
tail,7
,
ho,7
,
brew,7
,
bottle,7
,
attention,7
,
mood,7
,
omelet,7
,
floor,7
,
prix,7
,
okay,7
,
la,7
,
favorite,7
,
treat,7
,
min,7
,
gelato,7
,
yuzu,7
,
cleveland,7
,
casino,7
,
hell,7
,
warm,7
,
brisket,7
,
filet,7
,
drive,7
,
fault,7
,
website,7
,
friday,7
,
tradition,7
,
wow,7
,
las,7
,
pint,7
,
rating,7
,
sea,7
,
sorry,7
,
bellagio,7
,
bag,7
,
stop,7
,
christmas+,7
,
conversation,7
,
lack,6
,
change,6
,
garden,6
,
space,6
,
lizard,6
,
take,6
,
section,6
,
guac,6
,
strawberry,6
,
broth,6
,
carte,6
,
rare,6
,
phoenix,6
,
sirloin,6
,
mustard,6
,
bed,6
,
seat,6
,
shepherd,6
,
whiskey,6
,
set,6
,
attitude,6
,
opinion,6
,
sunday,6
,
tonight,6
,
love,6
,
tv,6
,
bottom,6
,
snack,6
,
buffalo,6
,
register,6
,
consistency,6
,
soy,6
,
cider,6
,
parking,6
,
orange,6
,
juicy,6
,
steakhouse,6
,
nature,6
,
plenty,6
,
lounge,6
,
artichoke,6
,
valley,6
,
michael,6
,
brother,6
,
hash,6
,
kobe,6
,
lettuce,6
,
disappointment,6
,
cold,6
,
perfection,6
,
interior,6
,
square,6
,
fiance,6
,
chair,6
,
wrap,6
,
baby,6
,
stone,6
,
treatment,6
,
downtown,6
,
mind,6
,
fork,6
,
crowd,6
,
pedro,6
,
sage,6
,
ranch,6
,
mix,6
,
marinara,6
,
notch,6
,
slaw,6
,
smell,6
,
panini,6
,
boy,6
,
care,6
,
menus,6
,
cheesecake,6
,
veal,6
,
pho,6
,
avocado,6
,
bartender,6
,
craft,5
,
weather,5
,
guacamole,5
,
basil,5
,
prosciutto,5
,
ribs,5
,
credit,5
,
item,5
,
stuffed,5
,
skin,5
,
moon,5
,
schedule,5
,
region,5
,
risotto,5
,
coke,5
,
merry,5
,
york,5
,
chile,5
,
experience+,5
,
heaven,5
,
tree,5
,
face,5
,
pittsburgh,5
,
request,5
,
sr,5
,
inside,5
,
dipping,5
,
club,5
,
tongue,5
,
ikura,5
,
waitstaff,5
,
naan,5
,
omelette,5
,
plastic,5
,
bay,5
,
spiciness,5
,
boyfriend,5
,
dollar,5
,
homemade,5
,
lotus,5
,
ginger,5
,
haggis,5
,
advantage,5
,
year+,5
,
difference,5
,
ton,5
,
sampler,5
,
bass,5
,
range,5
,
gnocchi,5
,
oyster,5
,
standard,5
,
cooking,5
,
filling,5
,
squash,5
,
fixe,5
,
vacation,5
,
kaiseki,5
,
start,5
,
design,5
,
tart,5
,
storm,5
,
foot,5
,
takeout,5
,
brewery,5
,
sake,5
,
matter,5
,
crisp,5
,
lobby,5
,
excuse,5
,
booth,5
,
joint,5
,
time+,5
,
mango,5
,
tad,5
,
rock,5
,
occasion,5
,
display,5
,
sight,5
,
mention,5
,
none,5
,
sweet,5
,
cfs,5
,
batter,5
,
tequila,5
,
cost,5
,
hate,4
,
carolina,4
,
awhile,4
,
special,4
,
tao,4
,
effort,4
,
fire,4
,
app,4
,
feeling,4
,
flour,4
,
let,4
,
canolis,4
,
background,4
,
tax,4
,
pollo,4
,
preference,4
,
truffle,4
,
custard,4
,
frame,4
,
gravy,4
,
outside,4
,
buttery,4
,
centre,4
,
distillery,4
,
break,4
,
shape,4
,
cause,4
,
lemonade,4
,
ass,4
,
scene,4
,
woman,4
,
environment,4
,
fudge,4
,
brie,4
,
filipino,4
,
wedge,4
,
zucchini,4
,
marinade,4
,
thelma,4
,
bf,4
,
syrup,4
,
pricey,4
,
