review_id,user_id,date,useful,text,cool,stars,business_id,type,funny
6-hKBi-6RC3g7Mft0c-6qw,PmgqNO0-5Y3e3UoR61TD7w,2014-03-29,0,"This place is a area staple! Been around for years and not much has changed - I see this as a good thing! Stable and reliable!

My family goes every year for St. Pattys Day corn beef! Very nice place for a bar night dinner, or to catch up with some friends over drinks!",0,4,4P-vTvE6cncJyUyLh73pxw,review,0
tRd0-mPa9O1TMJp_dw5khQ,kXUySHSlRgVrcR4Aa0HtGQ,2014-08-14,0,Got my mojo back after having a few of their appetite teasers. Love LPW for a no-frills bite to eat.,0,4,4P-vTvE6cncJyUyLh73pxw,review,0
8Mu56iQ-MYEyivqUVss0XA,SYKPwRhnlKrW6yTvm7oPWg,2012-10-20,1,"Don't go here for the decor, but the staff is friendly and the fried pickles are very tasty.  Good value.",0,4,4P-vTvE6cncJyUyLh73pxw,review,0
ToC77cIEiMas9CPU7dt_fA,7LCG3o2KW2jgKgbKN0DQOg,2012-08-25,2,"I believe in awarding stars bearing in mind the type of restaurant reviewed. 

One can tell by the name that LPW won't replace Ohio's lost Maisonette restaurant in Cincy any time soon, nor does it aspire to do so, but for a sports-bar type venue, these folks do it all right, and do so at the right price!
Stopped for lunch on a Saturday.

The lady got a cheeseburger and fries, I got scrod and broccoli, we split an order of their fried pickles as an app.
The pickles were dill spears coated with just the right amount of what was likely a beer batter and deep fried to tangy perfection.
They got the spears vs. chips decision right!

The lady usually looks askew at this type of fare, but happily camped out over the plate and ate her fair share! 
 
And here's the kicker they were under four bucks! 

Kudos Mr. Pickle; you done good!

The fries were very lightly battered and done perfectly, with just the right amount of crispness outside followed by a creamy interior, ... the fry guy here knows his craft!
And the burger was good as well.. ...typical of the genre.  

I find it difficult to fawn excessively over  a burger.

The scrod was a very generous sized portion, nicely caramelized and served with lemon and butter and perfectly done.
When I was given the option of fries or baked potato or rice I asked if there were a green option and broccoli was offered, it was done perfectly as well and the amount was easily enough for two to share.
My dinner came with a salad, which happily WAS NOT from a bag-o-lettuce, but rather freshly cut romaine, a cuke slice or two, carrot shreds and tomato, and it was accompanied by a store bought dinner roll and butter.

The service was quite good, although the waitress appeared to be a bit over-extended, but that's a management issue, not the server's fault.

Happily they are in the Cleveland Entertainment book, and as I had the coupon sitting on the table during the meal, the waitress took the value off of the ticket before it was even presented!
I'm all for efficiency, especially when it affects how quickly I can get out of a restaurant.

That move garnered the fifth star!

We both stated that we will go back in a heartbeat!",1,5,4P-vTvE6cncJyUyLh73pxw,review,0
6YC4o9yLc25DK8c6soOlaw,iSdSNh1hjdE33LOwrFnFrg,2015-07-27,0,"If you like fried food and laid back, then this is the place for you.  Nothing that will blow your mind, but the people are great, the restaurant is laid back and casual and the food, while not very creative, is cooked well, presented well and the prices are not ridiculous.",0,4,4P-vTvE6cncJyUyLh73pxw,review,0
T5Xa-KKFqgXdbFnATZA4gg,catpxxLS6OF5cfjxLvpAbA,2014-02-24,0,THE CLASSIC BURGER IS AMAZING.  It's definitely a top ten burger. The fries are good too.,1,5,4P-vTvE6cncJyUyLh73pxw,review,0
JYyKOtLznozAlT8P1Foaow,Zmp1Q6Ul9VH3zL02Z5ls_A,2013-03-16,0,I was not impressed with how gross this place is - I wasn't sure I wanted to order anything. The food was not outstanding. I think I would go across the street to the Tavern!!,0,2,4P-vTvE6cncJyUyLh73pxw,review,0
4FnZR30PtlEb1Ifi7S65bg,vzKgTUCV5Pz0gldaeM5j3g,2015-09-05,0,"Okay bar food. Nice bar setting but food is average, service is average and in general doesn't really art itself apart in anything. Would I go there again? Probably if I'm in the area. Would I go out of my way to go there or make note of it to others? Probably not vegetable soup was good though and wings were fairly priced.",0,3,4P-vTvE6cncJyUyLh73pxw,review,0
6GBjCBVtPGsnQ67neAAkjw,i8hCMZN-0bHENsHZKHpC-g,2011-05-25,7,"Was boozin and cruisin with my canine comrade. Went all the way out to Hudson via Brecksville/82. Looking for anything to Yelp. Nothing. Not even in the strip mall I used to hit in Hudson on my dry cleaning route back in the day. There was a deli, but it opened at fucking 11! Who even wants to go to a deli after 11? Weak. Breezed through Peninsula. Winking Lizard? Bah. Ended up backtracking through Brecksville and I remembered an old friend. London Pickle Works! Was it still there some four years after I stopped in while house shopping? Yup. Incidentally, investing in a condo down there probably would have made more sense than buying a house in Lakewood. Live and learn.

Cozied up to the bar and ordered a Killians, plus cheesesteak to go(for pooch). Like the Unicorn, food was amazingly done before I could chug my brew. I could get used to this kind of service. The bar was all old men. Matt, I don't know how you do it. They were watching Fox news for chrissakes!! Total was eight dollars! Holy shit. I dropped a three dollar tip on that barmaid's ass. How could I not? A real meal at fast food prices, at fast food speed, served by someone not under house arrest with work privileges. Busted open the styro box. Big sandwich with mushrooms, onions, cheez and beef sliced so thin I swear it was a Steak'um. I never ate those as a kid, but I remember one time my friend had one in his bedroom where we were playing NES. He didn't want it, so we threw it all around the room. Fries were awesome. Also got a pickle. That's eight dollars with the beer, just to recap. Great value, nice location, old men. I won't wait four more years to come back.",6,4,4P-vTvE6cncJyUyLh73pxw,review,7
CdBHQT3WuYuQf-VQ1Um8tQ,OdTvOw8NKzaCcsj_dnRZSQ,2013-02-12,0,"Alright, i was about to give it 3 stars bc it's not that great, but it's super cheap... wait, but it's kinda filthy too, so umm, 3, final answer.  The food is edible, but a bum could afford to eat here, so i mean, it sure beats eating out of a dumpster.  Cheap brews, cheaper food.  I think the building is made out of iron, my phone practically turns off whenever I go inside.",0,3,4P-vTvE6cncJyUyLh73pxw,review,0
FFTN8Y1U9G2F_p1dQnxO7A,W4cfK8SxPloWtIXl3JST2g,2016-05-11,0,"Okay, so it is a bar with an old fashioned family restaurant attached. We were there almost 2 hours for the Tuesday night burger special. They need more staff. The table was a little sticky. However, the food was delicious. The French fries were nice and crispy, and the Half pound burger didn't taste like a pre-made frozen patty. Our total bill was $15.30 for 2 meals and 2 Cokes. We'll definitely go back.",1,4,4P-vTvE6cncJyUyLh73pxw,review,0
VlDz03s9VyODcVi1S9-Yfw,n5P4Cw7F1pCYwVutSTqUPg,2016-05-04,0,"3 stars is fair for this pub. 

The food is good and well priced for a bar. 

Tuesday has $5 burgers and chicken sandwiches. 

The pecan pie is good for dessert. 

I got the chicken dinner, it came with a 6 oz chicken, broccoli, steamed potatoes, salad, and roll. It was ok. I'd stick with the burgers though. The salad was fresh. 

Their fries are really good.",0,3,4P-vTvE6cncJyUyLh73pxw,review,0
HbnWR7vaXD5FLCcrrMAGhg,ub50UE95-gu7yIoed1zssA,2016-01-23,0,"Unmmmm, no. It's a bar with tables in the next room. It's feels grungy. Service was good, food, not so much. Praying I don't get sick!
Everything tasted like it came from a can! Nothing fresh or tasty about it. 
Guess who won't be back?",0,1,4P-vTvE6cncJyUyLh73pxw,review,0
YGfi1F_Fuc_OyemfqQFspg,57w8gLY3f7OwGmWNtUIFIA,2016-03-17,1,"Have dined in twice now and today was take out for corned beef sandwich. I don't know why I keep thinking this place is going to change. Food is at best ""ok"". The inside is a dive needs some serious updating. This would be ok if this place was a hidden dive bar with amazing food- not the case.
Today's lunch- puke. Dry corned beef, probably the worst I ever have had. 
Lession learned never returning.",0,1,4P-vTvE6cncJyUyLh73pxw,review,0
cTNeflcioISILyhQpt0HDA,RlpkcJqctkKXl-LO1IAtig,2016-08-01,0,This place is very dark and dingy on the inside. It is the cliche of townie bar. The food was just okay but the drinks were super cheap and the service was good.,0,3,4P-vTvE6cncJyUyLh73pxw,review,0
FM3Uo0F_2BHp1JdxR5nqvQ,m5iFZbW5hSNPNplx-vGkyA,2013-06-12,1,"This small tavern, has great burgers and the best fries within 100 miles!  It's simple, unpretentious, and the folks are mellow and ready to accommodate their customers.  I understand they added music on the weekend and will surely check it out on the weekend.",1,4,4P-vTvE6cncJyUyLh73pxw,review,0
Pqe0NlNUcxzEnUXALZviuA,1-xPzJk_ijBvY2J8Re1DIQ,2011-04-01,0,"The food is typical.  Wait how much was my meal... Then that food is awesome!  Very friendly atmosphere.  Prompt service.  Diner/Bar type place with no particular theme.  (Sorry if there is an attempted theme.  I didn't see it.)  Not a foodie spot or hidden gem, but something about this place just feels... nice.

Side note: My apologies for my complete unintentional dine and dash.  Wrong card.  Also sorry to the other guest whose bill I signed for them.",0,3,4P-vTvE6cncJyUyLh73pxw,review,2
vAuh2cggRJI1ZUqiZDEjHQ,oPQAJEiJnRrD0Km5RlKmtw,2016-08-14,0,"There'a a reason that everyone loves this place; it's your typical neighborhood bar in the evening (it's typically middle-aged locals, not a rowdy crowd) but it's also a great place to grab a nice meal with your family during the day. They also have a fish fry every Friday during Lent. The food is really good for bar food, and it's very reasonably priced. Obviously, this is not five star fine dining, but if you're looking for a cheap and inviting place to hang out with friends and family, this is a great place, and the food is great for what it is.",0,5,4P-vTvE6cncJyUyLh73pxw,review,0
sKStdKdvO5nIn1ZN0OC-cg,bZBPVRIGQZ0WXRYLtYXbYQ,2013-04-01,2,Not particularly good. Bathroom is nasty. Food decent. Terrible cell phone signal and no WiFi. Probably won't return.,1,2,4P-vTvE6cncJyUyLh73pxw,review,1
uVdnYmlXio7BqtfmZZU-0w,fflaErtSIUWvHe3q0I3JAA,2013-01-23,0,Went here last Friday for dinner very disappointed!  Waited for ever for someone to tell us to seat ourselves and then waited forever for the waitress to come over it seemed they were very busy gossiping at the counter.  Food was so-so nothing special the salads good use cheese served very plain.  Better restaurants nearby.,0,2,4P-vTvE6cncJyUyLh73pxw,review,0
f0l_4MrqYjVCOZq_PowquQ,BRO98wNeY2Q_BZX8G-iVvg,2012-05-01,1,"I can't give this palce 5 stars because hell, its just not a 5 star place.  But it's the Pickle!  If ever in Brecksville stop over at the neighborhood bar for cheap, quality food (you get what you pay for though), a typical old bar atmosphere, free popcorn, and sit in chairs that I swear haven't changed since I was 5.  The place is awesome, I'm there every weekend.",0,4,4P-vTvE6cncJyUyLh73pxw,review,0
QfnIyQ5wYk2NDWSLYkSbgQ,qn7SAaO9Jwl2ls5c9Og2yA,2012-03-01,0,"Great prices.   Good food. Typical fare: burgers chicken, fish, etc  Really friendly and eccentric staff. This place is a keeper.   Try the hot pickle. I buy them and use them in bloody marys.",1,4,4P-vTvE6cncJyUyLh73pxw,review,0
QVS_4D3lLpilcljTSzKtcw,7phnWalwWR0LcV-4xGGFgg,2015-11-21,0,"Neighborhood bar, with the friendliness that comes with it.  Also the quality of food you would expect. Family friendly.",0,2,4P-vTvE6cncJyUyLh73pxw,review,0
-K5z7DzXHJgEC1tsTLfFeA,C0jquh-km5UnawqDqSQpBw,2009-09-15,2,We came here for dinner to celebrate my friends Birthday.  The restaurant itself is beautiful and the service is incredible but for some reason I felt like something was missing.  The food was decent but way over priced.  I guess for the money we paid I was expecting something else.  Overall it was a nice evening and my friend had fun so thats all that matters right?,0,3,4uiijOUDzc-DeIb2XcKW_A,review,0
2tjghSImOPf4A9L4zhByRQ,cPifBB7Qbjs9PntPGOY9iQ,2010-11-25,1,"Ah, Khotan... I knew you when (SIGH) you were something different.... a perfect blend of Asia's decor and food... and how far you have fallen since that time. While I still appreciate your service and your stunning looks, I am surprised by what has happened to your menu... sorry looking sashimi (though the uni was a standout... shouts out to Santa Barbara!!), uninspired hot foods (kung pao shrimp at $21? For real?? ).... even the drinks are sorry in comparison to what once was.... SIGH.  Perhaps this is why you are closing your doors from November 30th through January 3rd (Seriously? During one of the busiest times of the year in Vegas!?) At least you still have your Treasure Island pirate show, which will always be a sight to behold. Perhaps you should visit what you once were (read: Social House at Crystals) and reclaim your glorious days. Until then, I will continue to hold onto hope that you will find your spotlight (or at least a better menu) once again.",1,3,4uiijOUDzc-DeIb2XcKW_A,review,1
fCVQlHk6x7-S2FWWMbOWpA,pgTz-Ds6WvS8qFOsRekG9A,2011-01-13,1,"Khotan sucks as a place to eat. The girls and I went to this place for ""Dinner"" but really all we got was appetizers. We went during happy hour so it was suppose to be cheaper, but it don't mean the size is bigger. I ordered some spicy tuna and it was $7 for like a tiny portion that didn't do anything for me at all. The roll were so tiny it was about the size of a quarter and I got four of those. BOO times 2. The only reason this place got two stars out of me was the bartender. They both were entertaining and he gave us some drinks for free. Atmosphere is really not impressive either.",0,2,4uiijOUDzc-DeIb2XcKW_A,review,0
N42b2u6YSL5iEjN6NnrKeQ,GDeoUHALgyqK13ewN92Jnw,2010-09-06,2,"My boyfriend and I decided to go resturant hunting on our visit in LV for our 1 year anniversary..we didnt have a spot in mind but on our many, many, many walks on the strip we found Khotan. 

So I decided to call and make a reservation since I didnt know whether it was a forsure spot we would get in for dinner. *WHICH I DO RECOMMEND, BTW!* We got there and were greeted and waited in the longue/bar area..it was def cute, we were soon taken to our seats in the patio area (which i also do recommend esp if you come around the 9 o' clock time frame for the pirates show.) OMG, when were going up there are beautiful gold deposit boxes all around then you hit the patio/seating area and you get a great view of the strip AND the pirate show..feels  like the fireworks are going to hit you haha.

The food was great, me and my bf def recommend the chicken lollipops for a appetizer (get two bc i could finish that whole plate if i didnt have to share with my bf HAHAHA). You def wont regret it, I ordered the Khotan Beef plate and it was actually good! I wish it did have a little more but I was full forsure. My boyfriend had the Orange chicken plate I believe and he enjoyed that plate as well although he did wish he had more food on there...just b/c hes def a fattie. haha

Overall, great place for some pan Asian food, GREAT SERVICE btw!, great views, free show of the pirate show w/o the bussling of the crowds, patio seating is great and def a great overall resturant in vegas.",2,4,4uiijOUDzc-DeIb2XcKW_A,review,1
3r40NTxUZyjPI26ftFaHaw,d1sLYlfSzHo6WCpfe-j7zg,2010-07-28,0,"***for lounge only****

Maybe I like this place only because my friend and I stumbled upon this place during happy hour.  Oh the two best words ever.  We ordered from the cocktail happy hour and I got some cranberry concoction (don't remember the name) and my friend had the asian pear.  I liked mine since it's tart as I like it but my friend didn't care for it. She did love her asian pear though since it was pretty sweet.  We were going to have dinner so we didn't splurge on appetizers but the couple next to us took advantage of the happy hour prices.  I took a peek and it looked like it was good since they ate every bite of their sushi rolls.  Bartender was really nice as well.  Noted, maybe on a weekend this place is poppin' but I enjoyed the quietness in the busy Vegas atmosphere on a Thursday night.",1,4,4uiijOUDzc-DeIb2XcKW_A,review,0
sSuy_QaLPKX99kSGy1QwHA,GABWrw5Et9jubriKwMUDbw,2011-03-29,0,"I love the decor and vibe of Khotan. A little hard to find at first but once you enter, it's worth the search. I really liked the safe deposit boxes in the entryway - made for some cute pictures. 
Food: Yum! I think it *may* be hit or miss based on reading other reviews but we chose wisely. Here's what I liked:
Spicy tuna roll - just enough spice, quality fish
Curry noodles - love the curry they used, definitely singaporean. big shrimps. 
Ginger chicken with broccoli - a lighter option with clean flavors.
Service: Great! Our sever recommended his favorite drinks and was helpful answering questions about the food.
This would be a great date spot. I'll be back to enjoy the atmosphere :)",0,4,4uiijOUDzc-DeIb2XcKW_A,review,0
